system:index,month,soilMoisture,soilMoisture_filled,system:time_start,.geo
44,2022-09,305.0085806512096,305.0085806512096,1661990400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-10,313.83223983837564,313.83223983837564,1664582400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2022-11,262.1184487183597,262.1184487183597,1667260800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2022-12,255.43950463168665,255.43950463168665,1669852800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2023-01,236.36033990429343,236.36033990429343,1672531200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2023-02,237.58200918889582,237.58200918889582,1675209600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2023-03,300.0148538765755,300.0148538765755,1677628800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2023-04,260.655841576919,260.655841576919,1680307200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2023-05,273.8604454573888,273.8604454573888,1682899200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2023-06,169.66593723423273,169.66593723423273,1685577600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2023-07,,221.84455968349266,1688169600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2023-08,275.76249084914406,275.76249084914406,1690848000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2023-09,282.51463619958764,282.51463619958764,1693526400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2023-10,296.5470633530377,296.5470633530377,1696118400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2023-11,303.25781857577056,303.25781857577056,1698796800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2023-12,301.79226465625334,301.79226465625334,1701388800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2024-01,306.27672943048486,306.27672943048486,1704067200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2024-02,262.6760515331959,262.6760515331959,1706745600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2024-03,258.1085295778206,258.1085295778206,1709251200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2024-04,237.5901804302909,237.5901804302909,1711929600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2024-05,239.37377455566835,239.37377455566835,1714521600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2024-06,330.1077427711134,330.1077427711134,1717200000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2024-07,,337.9104884580908,1719792000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2024-08,,345.9732078129096,1722470400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2024-09,354.03599806571435,354.03599806571435,1725148800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2024-10,280.12836328028095,280.12836328028095,1727740800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2024-11,298.26402139598065,298.26402139598065,1730419200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2024-12,318.1920579349548,318.1920579349548,1733011200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
